,kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,publish_date,viewcount_jamescharles
22,youtube#playlistItem,hcAVmLywdSNTALFRfS4oCjfYp5c,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLlBpVWltTEs1QmhR,2023-07-05T19:04:30Z,UCucot-Zp428OwkyRm2I7v2Q,HAIRSPRAY TO SET YOUR MAKEUP IN PLACE?! 😱,Original video by @LaviedunPrince 🤍,James Charles,UUucot-Zp428OwkyRm2I7v2Q,21,youtube#video,PiUimLK5BhQ,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-07-05,2874132
23,youtube#playlistItem,dKcrKwJ7A7JyPgj0KuJ9krY32-k,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkhiUm81SGRPQVFF,2023-06-30T19:00:13Z,UCucot-Zp428OwkyRm2I7v2Q,THE WORLD'S CHEAPEST MAKEUP STORE,"There's a store in LA selling the most popular makeup brands for INSANE discounts like 70% off!! I went shopping to put together a full face routine, watch and see the look I created!   🎥 Previous Video » https://youtu.be/oFmVw-g_w60 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,22,youtube#video,HbRo5HdOAQE,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-06-30,1091392
26,youtube#playlistItem,j4_rMKK8SbnGde68j75zA5JzL9Y,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLm9GbVZ3LWdfdzYw,2023-06-23T19:14:37Z,UCucot-Zp428OwkyRm2I7v2Q,CREDIT CARD SWAP WITH JOJO SIWA!,"In today's video, I swapped my credit card with JOJO SIWA! We spent each other's money all day long on crazy items like Louis Vuitton, went indoor skydiving, and bought gifts for fans!! Watch to see how much we spent!  🎥 Previous Video » https://youtu.be/OhYAit9icYQ 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,25,youtube#video,oFmVw-g_w60,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-06-23,1691209
29,youtube#playlistItem,guDVy4-olKILrJFFH8utPBKjQjQ,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLk9oWUFpdDlpY1lR,2023-06-16T19:00:12Z,UCucot-Zp428OwkyRm2I7v2Q,TRYING A FULL FACE OF MAKEUP FROM ESSENCE!,"In today's video, I tried out a FULL FACE of makeup from Essence! I've gotten so many requests to try this brand. Some of the products were the worst I've ever tried, but I did find some diamonds in the rough. Let me know what you think!!  🎥 Previous Video » https://youtu.be/AbMxGZjPzns 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://www.youtube.com/user/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,28,youtube#video,OhYAit9icYQ,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-06-16,1184584
32,youtube#playlistItem,4iRs0j18BYZ-iM_JM4Yu9UM-FD0,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkFiTXhHWmpQem5z,2023-06-09T19:00:09Z,UCucot-Zp428OwkyRm2I7v2Q,RANKING MY MEMES,Flashback Mary.. WHOMP WHOMP WHOMP.. Bring Me Little Water Sylvie and more... today's video I rank my most iconic memes! Enjoy!  🎥 Previous Video » https://youtu.be/dvQ6jKvCRrs 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://intagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny,James Charles,UUucot-Zp428OwkyRm2I7v2Q,31,youtube#video,AbMxGZjPzns,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-06-09,1017860
34,youtube#playlistItem,AF1bz1bmT2hUYUPZAWn7pQ5vpa8,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmR2UTZqS3ZDUnJz,2023-06-02T19:00:05Z,UCucot-Zp428OwkyRm2I7v2Q,TRYING A FULL FACE OF MAKEUP FROM 5 BELOW!,"HI SISTERS! In today's video, I went to Five Below and bought a full makeup routine for $5 to test and see how the cheap products there actually work! Enjoy!  🎥 Previous Video » https://youtu.be/xpZyMvdY7YE 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,33,youtube#video,dvQ6jKvCRrs,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-06-02,1519247
35,youtube#playlistItem,jJSafmVlrndJd4-PT_k91n1SrCY,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmtTWm41WmlEd1Zn,2023-05-31T19:07:05Z,UCucot-Zp428OwkyRm2I7v2Q,ITCH CREAM as MAKEUP PRIMER?! 🤒🧴,credit to @Makeupbyhailee for the original video 🤍,James Charles,UUucot-Zp428OwkyRm2I7v2Q,34,youtube#video,kSZn5ZiDwVg,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-05-31,2111201
37,youtube#playlistItem,a8wZCnHkYjrqQbPIQs-B61jAllc,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLnhwWnlNdmRZN1lF,2023-05-26T19:00:21Z,UCucot-Zp428OwkyRm2I7v2Q,REACTING TO CRAZY VIRAL TIKTOKS ABOUT ME!,"In today's video, I watch and react to some of the craziest viral tiktoks about me in 2023! Bad singing videos, Flashback Mary makes a comeback, and so many more. Enjoy and don't forget to thumbs up and subscribe!   🎥 Previous Video » https://youtu.be/NEefCFU7lbU 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,36,youtube#video,xpZyMvdY7YE,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-05-26,1098044
39,youtube#playlistItem,__9ZptkTNkqWQbNOlFqOp78CHgg,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLk5FZWZDRlU3bGJV,2023-05-19T20:08:59Z,UCucot-Zp428OwkyRm2I7v2Q,HOT WINGS MAKEUP CHALLENGE!,"In today's video, I ate the world's SPICIEST wings from Hot Ones while trying to do my makeup! Watch to see if I was able to beat the challenge and get all the way through my routine.   🎥 Previous Video » https://youtu.be/YWz9p3FSR_M 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://www.instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,38,youtube#video,NEefCFU7lbU,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-05-19,1133692
41,youtube#playlistItem,J0gWGrGJIhZmaRMpnMA8q58W8zc,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLllXejlwM0ZTUl9N,2023-05-12T19:00:04Z,UCucot-Zp428OwkyRm2I7v2Q,BREAKING EVERY MAKEUP RULE!,"In today's video, I broke EVERY. SINGLE. MAKEUP. RULE that we've learned from artists to never break. Watch to see if my routine gets ruined, or if some rules are meant to be broken!  🎥 Previous Video » https://youtu.be/7xJsN8aqVxQ 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Dan Nadify https://twitter.com/Nadifyy Ryan Allen http://www.instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,40,youtube#video,YWz9p3FSR_M,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-05-12,1616118
44,youtube#playlistItem,sAeSh7Dp3eZtllCQidqqxKwo4KU,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLjd4SnNOOGFxVnhR,2023-05-05T19:00:01Z,UCucot-Zp428OwkyRm2I7v2Q,FULL FACE OF PRODUCTS I HATE!,"In today's video, I tried a full face of makeup using ONLY products that I HATE! Spoiler alert, the look turned out absolutely horrible hahaha. Enjoy this rant and let me know what products you hate!  🎥 Previous Video » https://youtu.be/V0ynYU4mhkE 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,43,youtube#video,7xJsN8aqVxQ,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-05-05,2353557
47,youtube#playlistItem,9JO6e-tVVLYkp5s1eOEFHkTnGi4,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLlYweW5ZVTRtaGtF,2023-04-28T19:00:09Z,UCucot-Zp428OwkyRm2I7v2Q,TRYING THE WORLD'S CHEAPEST MAKEUP! (TEMU),"In today's video, I tried out a FULL FACE of the cheapest makeup from the shopping app TEMU! Foundation for $0.54, lashes for $0.09, lip oil for $0.30... the pricing is actually INSANE. Watch to see if anything works!  Use Code “JAMES030” for an extra 30% off when checking out! (For All New Users) 🛍️ Get Secret Perks when you Download Temu (For US & CA users) https://temu.to/k/usazsPJpZTGDtJh Plus, Free Shipping and Free Returns!  All the items I got from Temu and shared in this video! 👉🏻 https://temu.to/k/usazsPJpZTGDtJh 3D Faux Mink Lashes for ONLY $0.3 （Reg: $9.33) https://temu.to/k/us6n0w93hyVSg4l 12 Make-Up Sponges for ONLY $0.30 （Reg: $6) https://temu.to/k/us2GDJCkgW4Xwjf Foundation for ONLY $0.5 （Reg: $8.99) https://temu.to/k/us4gaFc7gJ7XLhp 6Pcs Lip Balm for ONLY $0.5（Reg: $8.97) https://temu.to/k/usmyefBxu6LZ2yr  🎥 Previous Video » https://youtu.be/e5Ob9b6Yza4 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,46,youtube#video,V0ynYU4mhkE,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-04-28,1658197
